word_id|doc_id
336|3,6,9,20,23
337|0
338|2
339|1,3,4,11,15,19,21,22,29
340|1,3,6,16,18,19,21,22,23,33,35,37,43
341|1,3,19,22
342|1,3,19,21,22
343|19
344|4,22
345|1,2,11,12,13,17,21,26,27,28,30,33,43,44
346|2,11,14,26
347|2
348|19
349|2
350|1,3,9,11,23,34,44
351|1,9,12,23,34,43
352|12
353|9
354|0
355|15
356|15
357|15
358|1,2,3,15,18,33,43
359|18
360|1,4,15,18,40,43
361|18
362|18
363|33
364|0
365|1,21,23,24,31,33,38
366|3
367|18
368|0
369|12
370|12
371|0,1,3,4,6,12,15,18,21,23,30,32,37,39,42,43
372|0
373|1,4,9,15,18,23,32,33,35,42,43,44
374|0,1,3,4,6,9,10,12,15,23,30,34
375|1,3,4,6,12,15,18,19,20,23,31,32,42,43
376|0
377|0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
378|2,34
379|10
380|12
381|12
382|0
383|0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
384|18,27
385|40
386|41
387|18,21,34,41
388|15,18,30
389|32
390|12
391|0
392|12,16
393|12
394|12
395|18
396|0,1,5,8,9,12,19,22,37,44
397|0
398|12
399|0,19
400|18
401|8
402|3
403|18,23
404|17,43
405|42
406|2,3,4,6,9,13,14,16,17,26,27,32,44
407|0
408|0
409|0,12,44
410|22
411|0,1,12
412|0
413|0,12,22
414|3
415|0
416|0,1,2,3,4,6,7,9,11,12,15,16,17,18,19,20,21,22,23,24,26,28,30,31,32,33,38,41,42,43,44
417|16
418|0,22,38
419|1,42
420|22
421|21,22
422|0
423|0,6,8,9,12,17,18,19,21,23,24,26,30,31,32,33,41,43
424|0,2,6,7,9,11,12,13,15,17,18,19,23,24,26,30,31,32,33,41,43,44
425|6,11,15,43
426|20
427|1,3,9,32
428|26
429|41
430|3,31,43,44
431|16
432|8
433|0,1,2,3,4,5,6,8,9,11,12,13,15,16,17,18,19,20,21,22,23,24,26,27,29,30,31,32,33,34,35,37,40,41,42,43,44
434|19,31
435|0,1,2,3,4,6,7,8,10,11,12,13,15,16,18,19,20,21,22,23,24,26,27,30,31,32,34,35,42,43,44
436|19
437|13,26
438|41
439|1,11,14,21,30
440|3,11
441|9,11,22
442|3
443|2,9,14,17
444|41
445|26
446|0
447|9,19,26
448|0
449|32
450|12
451|31
452|0
453|18
454|0,1,2,3,4,6,9,11,12,13,15,16,17,18,19,20,21,22,23,24,29,30,31,32,33,34,35,37,38,41,42,43,44
455|0,1,2,3,4,5,6,7,9,11,12,13,14,15,16,17,18,19,21,22,23,25,26,29,30,31,32,33,34,35,38,39,40,41,42,43,44
456|1,3,11,12,21,35,44
457|14
458|21,22
459|9,21
460|3,12,21,34,44
461|1,3,21,31,44
462|9,19,23
